train_acc,train_loss,val_acc,val_loss,curr_epoch
0.4517368837726806,1.505231,0.6075367647058824,1.087372,0
0.63115335786831,1.0327126,0.6760569852941176,0.9289509,1
0.6420813184697022,1.0067503,0.6935431985294118,0.85281324,1
0.7193138943569554,0.79518926,0.7327665441176471,0.78032744,2
0.7291443783521624,0.7708114,0.7286075367647059,0.7869083,2
0.787110043649435,0.6091411,0.7618106617647059,0.68406355,3
0.7910978688805204,0.5917032,0.7663143382352942,0.7018024,3
0.839806751397923,0.45669672,0.7868336397058824,0.6384405,4
0.8472002310852448,0.43676645,0.7833180147058824,0.6541254,4
0.8859899221157137,0.3245648,0.8165211397058825,0.55833995,5
0.8917929076800182,0.3081764,0.8094898897058824,0.60247004,5
0.9191749935809654,0.23230405,0.8294577205882353,0.5479522,6
0.9245170568013238,0.21597062,0.8196920955882353,0.5781724,6
0.9440866427022709,0.16252041,0.8581341911764706,0.45944828,7
0.9457538086271824,0.15525945,0.8598805147058824,0.46507525,7
0.9584626055574575,0.11973624,0.8779641544117647,0.4312133,8
0.9575050995663585,0.121993,0.8787454044117646,0.40637198,8
0.9659657437521397,0.09793361,0.8750229779411764,0.43440023,9
0.96960542551067,0.08917144,0.8939797794117647,0.35589287,9
0.9739155397694852,0.0743578,0.8904641544117646,0.41676697,10
0.975395929618852,0.07187723,0.8941636029411765,0.40903682,10
0.9774816700901517,0.065709665,0.9063878676470589,0.3444103,11
0.9771205993951844,0.0654446,0.8928079044117647,0.36992484,11
0.981137399435125,0.056022014,0.8909926470588235,0.39976022,12
0.9815189753794363,0.05416921,0.8799632352941176,0.45478287,12
0.9840571686351706,0.046830107,0.8870863970588235,0.44620246,13
0.9852527138251741,0.043475393,0.9154181985294118,0.3269447,13
0.9852874835958005,0.041995317,0.9139016544117646,0.33353192,14
0.9868173535033664,0.038676694,0.9138556985294117,0.33899093,14
0.9885910575716079,0.03320009,0.9197610294117646,0.33402053,15
0.9893475229658792,0.031149624,0.9213235294117647,0.303995,15
0.9883244893301382,0.033688392,0.9173713235294118,0.3172442,16
0.9903175104131006,0.028758071,0.9264476102941176,0.2730169,16
0.9901904670204268,0.029789124,0.9239659926470589,0.30979893,17
0.9902827406424741,0.027764283,0.9233685661764707,0.31667337,17
0.9926408443170147,0.021640047,0.9286534926470589,0.2941698,18
0.9927513943569554,0.022712044,0.9241498161764706,0.29390234,18
0.9928909192057515,0.020702748,0.9104319852941176,0.37199518,19
0.992743370563734,0.02140429,0.9314797794117646,0.28201264,19
